_id,Category,Community,Status,Target Completion Date,Area,Region,Estimated Total Budget ($),Latitude,Longitude,Raw Completion Date,Municipal Funding_Flag,Provincial Funding_Flag,Federal Funding_Flag,Other Funding_Flag
167,Child care,Cochrane,Complete,2024-09-18,Cochrane,Northeast,800000,49.069757,-81.019783,18-Sep,0,1,0,0
168,Child care,Cornwall,Complete,2024-02-22,"Stormont, Dundas and Glengarry",East,608536,45.03619,-74.69659,22-Feb,0,1,0,0
169,Child care,Dryden,Complete,2024-09-18,Kenora,Northwest,169358,49.79332,-92.83751,18-Sep,0,1,0,0
170,Child care,Dryden,Complete,2024-01-18,Kenora,Northwest,361075,49.7736,-92.84046,18-Jan,0,1,0,0
171,Child care,Dryden,Complete,2024-09-18,Kenora,Northwest,400000,49.781206,-92.833528,18-Sep,0,1,0,0
172,Child care,Emo,Complete,2024-09-21,Rainy River,Northwest,2987881,48.6308,-93.8302,21-Sep,0,1,0,1
173,Child care,Erin,Complete,2024-12-18,Wellington,Southwest,1083591,43.77489,-80.06759,18-Dec,0,1,0,0
174,Child care,Essex,Complete,2024-09-21,Essex,Southwest,3705654,42.17306,-82.8154905,21-Sep,0,1,0,0
175,Child care,Fort Erie,Complete,2024-09-18,Niagara,Central,1020000,42.896145,-78.969751,18-Sep,0,1,0,0
176,Child care,Fort Erie,Complete,2024-09-18,Niagara,Central,1535000,42.896145,-78.969751,18-Sep,0,1,0,0
177,Child care,Fort Frances,Complete,2024-09-20,Rainy River,Northwest,1210009,48.61346,-93.38707,20-Sep,0,1,0,0
178,Child care,Fort Frances,Complete,2024-09-20,Rainy River,Northwest,2800000,48.609812,-93.395558,20-Sep,0,1,0,0
179,Child care,Gananoque,Complete,2024-09-21,Leeds and Grenville,East,1865430,44.33423,-76.16338,21-Sep,0,1,0,1
180,Child care,Gravenhurst,Complete,2024-09-18,Muskoka,Central,519770,44.920341,-79.372944,18-Sep,0,1,0,0
181,Child care,Greater Napanee,Complete,2024-09-17,Lennox and Addington,East,264690,44.24969,-76.95716,17-Sep,0,1,0,0
182,Child care,Greater Sudbury,Complete,2024-09-20,Sudbury,Northeast,585000,46.490337,-80.995509,20-Sep,0,1,0,0
183,Child care,Greenstone,Complete,2024-09-21,Thunder Bay,Northwest,5010724,49.72166,-86.95543,21-Sep,0,1,0,1
184,Child care,Grimsby,Complete,2024-09-19,Niagara,Central,1545000,43.189369,-79.549795,19-Sep,0,1,0,0
185,Child care,Grimsby,Complete,2024-09-24,Niagara,Central,3063799,43.201,-79.56159,24-Sep,0,1,0,0
186,Child care,Guelph,Complete,2024-09-24,Wellington,Southwest,3887404,43.57657,-80.25778,24-Sep,0,1,0,0
187,Child care,Guelph-Eramosa,Complete,2024-04-22,Wellington,Southwest,2995751,43.62408,-80.15174,22-Apr,0,1,0,1
189,Child care,Hamilton,Complete,2024-09-18,Hamilton,Central,2670102,43.21128,-79.64313,18-Sep,0,1,0,0
190,Child care,Hamilton,Complete,2024-09-21,Hamilton,Central,1646181,43.26784,-79.86202,21-Sep,0,1,0,1
