_id,Category,Status,Estimated Total Budget ($),Municipal Funding,Provincial Funding,Federal Funding,Other Funding,Latitude,Longitude,Target_Year
1273,Health care,Planning,0,0,1,0,1,44.12215681,-81.15304603,2025
1274,Health care,Complete,0,0,1,0,1,44.220901,-76.517605,2025
1275,Health care,Planning,0,0,1,0,1,44.224605,-76.492877,2025
1276,Health care,Planning,0,0,1,0,1,44.224605,-76.492877,2025
1277,Health care,Planning,0,0,1,0,1,44.224605,-76.492877,2025
1278,Health care,Planning,0,0,1,0,1,48.15362754,-80.01452167,2025
1279,Health care,Complete,64581893,0,1,0,1,43.456239,-80.512077,2025
1280,Health care,Planning,0,0,1,0,1,43.43834977,-80.50173886,2025
1281,Health care,Complete,1090049817,0,1,0,1,43.00086,-81.254367,2025
1282,Health care,Planning,0,0,1,0,1,42.960931,-81.225729,2025
1283,Health care,Planning,0,0,1,0,0,43.00282441,-81.18683482,2025
1284,Health care,Planning,0,0,1,0,1,42.96243674,-81.22763755,2025
1285,Health care,Planning,0,0,1,0,1,42.960931,-81.225729,2025
1287,Health care,Under construction,0,0,1,0,1,45.48213287,-77.69464306,2025
1288,Health care,Complete,2363300,0,1,0,1,45.811014,-81.706657,2025
1289,Health care,Under construction,3133600,0,1,0,1,48.71909601,-86.37544639,2025
1290,Health care,Complete,350961722,0,1,0,1,43.884049,-79.231199,2025
1291,Health care,Planning,0,0,1,0,0,44.741921,-79.911635,2025
1292,Health care,Complete,533566029,0,1,0,1,43.496768,-79.870012,2025
1293,Health care,Planning,0,0,1,0,1,43.55764692,-79.93688012,2025
1294,Health care,Complete,0,0,1,0,1,43.559283,-79.702419,2025
1296,Health care,Under construction,0,0,1,0,1,43.60940808,-79.5624899,2025
1300,Health care,Under construction,0,0,1,0,1,51.271185,-80.650871,2025
1301,Health care,Under construction,2691200,0,1,0,1,51.26266187,-80.59311404,2025
1302,Health care,Under construction,0,0,1,0,0,51.271185,-80.650871,2025
1304,Health care,Under construction,3330587593,0,1,0,1,43.03211,-79.123543,2025
1305,Health care,Under construction,7362600,0,1,0,1,46.33678697,-79.4682958,2025
1306,Health care,Complete,0,0,1,0,1,43.450405,-79.764749,2025
1307,Health care,Complete,75005900,0,1,0,1,45.447,-75.499305,2025
1308,Health care,Complete,161521700,0,1,0,1,45.394161,-75.720682,2025
1309,Health care,Complete,12565397,0,1,0,1,45.401224,-75.647325,2025
1310,Health care,Complete,0,0,1,0,1,45.432135,-75.696194,2025
1313,Health care,Complete,18509000,0,1,0,1,45.2744254,-75.96228981,2025
1314,Health care,Complete,0,0,0,0,0,45.37061729,-75.71720472,2025
1315,Health care,Under construction,15539900,0,1,0,1,45.81428683,-77.10682476,2025
1316,Health care,Under construction,0,0,1,0,0,44.800932,-79.929501,2025
1317,Health care,Planning,0,0,1,0,1,43.097078,-82.11460584,2025
1318,Health care,Under construction,211076000,0,1,0,1,44.01612682,-77.13763207,2025
1319,Health care,Complete,0,0,1,0,1,45.482622,-76.696722,2025
1320,Health care,Planning,0,0,1,0,1,45.482622,-76.696722,2025
1321,Health care,Planning,0,0,1,0,0,42.98254434,-82.39278474,2025
1322,Health care,Planning,0,0,1,0,0,42.97450889,-82.40419605,2025
1323,Health care,Planning,0,0,1,0,1,44.15608271,-79.87517453,2025
1324,Health care,Planning,0,0,1,0,1,42.83518946,-80.31454165,2025
1325,Health care,Under construction,7626600,0,1,0,1,50.10615878,-91.92763135,2025
1326,Health care,Complete,0,0,1,0,1,42.762878,-81.180783,2025
